Date,Open,High,Low,Close,Volume
2025-07-28,394.86,395.39,375.26,379.49,6283066.0
2025-07-29,383.62,384.78,365.74,371.44,5763651.0
2025-07-30,383.08,386.58,372.71,377.48,6558460.0
2025-07-31,382.85,387.14,376.83,377.76,5655974.0
2025-08-01,335.14,337.59,310.55,314.69,16964074.0
2025-08-04,319.54,324.0,311.0,318.17,6712986.0
2025-08-05,307.13,312.85,297.2,297.99,8796267.0
2025-08-06,297.55,304.77,293.31,303.58,7766007.0
2025-08-07,311.23,317.94,306.98,310.79,7279919.0
2025-08-08,311.18,313.7,301.23,310.54,5530865.0
2025-08-11,322.3,333.66,318.8,319.62,8579418.0
2025-08-12,329.35,329.86,314.15,322.62,5644424.0
2025-08-13,327.53,345.39,321.53,327.01,9350740.0
2025-08-14,320.49,327.46,316.8,324.89,5331152.0
2025-08-15,322.83,323.4,314.56,317.55,4749316.0
2025-08-18,311.48,324.29,307.11,320.73,5185054.0
2025-08-19,320.69,322.59,301.45,302.07,6163491.0
2025-08-20,304.27,306.45,291.46,304.39,4974735.0
2025-08-21,301.04,305.0,297.8,300.28,3094246.0
2025-08-22,300.46,322.26,297.19,319.85,8095489.0
2025-08-25,312.18,315.59,305.1,306.0,4909626.0
2025-08-26,304.06,309.2,300.37,308.48,4727380.0
2025-08-27,307.21,312.41,306.69,308.97,3379135.0
2025-08-28,312.53,315.95,306.0,308.47,3518308.0
2025-08-29,306.07,308.22,301.5,304.54,3870501.0
2025-09-02,299.97,310.41,295.4,303.56,4101793.0
2025-09-03,305.01,308.38,301.15,302.31,3089537.0
2025-09-04,301.96,307.78,300.01,306.8,3784230.0
2025-09-05,313.58,315.74,292.56,299.07,6873073.0
2025-09-08,301.88,306.6,297.15,302.2,5005078.0
2025-09-09,303.58,319.4,303.56,318.78,5751378.0
2025-09-10,321.4,328.67,312.53,315.34,4928200.0
2025-09-11,319.0,326.0,315.53,323.95,4114283.0
2025-09-12,328.03,329.49,319.8,323.04,4008102.0
2025-09-15,322.87,328.44,320.96,327.02,3892599.0
2025-09-16,332.25,333.6,321.3,327.91,3640040.0
2025-09-17,325.96,328.49,311.3,320.56,4938658.0
2025-09-18,325.82,351.89,323.52,343.13,8815297.0
2025-09-19,342.76,349.7,337.66,342.46,5083860.0
2025-09-22,333.28,336.2,328.19,331.95,4559885.0
2025-09-23,333.34,335.68,317.7,320.07,4651856.0
2025-09-24,323.61,327.32,320.76,321.77,2508737.0
2025-09-25,314.24,317.99,304.36,306.69,4864237.0
2025-09-26,308.58,314.24,303.4,312.59,3260492.0
2025-09-29,318.0,334.38,316.34,333.99,6023642.0
2025-09-30,330.0,338.1,329.66,337.49,3516590.0
2025-10-01,343.26,349.87,340.5,346.17,4695129.0
2025-10-02,354.76,376.13,353.4,372.07,9102608.0
2025-10-03,373.35,383.5,370.03,380.02,7678706.0
2025-10-06,390.33,392.85,380.5,386.07,4992096.0
2025-10-07,386.84,388.0,363.01,375.78,4876712.0
2025-10-08,378.62,390.49,375.63,387.27,3935689.0
2025-10-09,384.33,392.16,381.8,387.0,3903242.0
2025-10-10,387.66,402.16,351.63,357.01,9610155.0
2025-10-13,364.52,364.9,341.84,356.99,5665250.0
2025-10-14,340.6,353.5,334.77,341.55,5142692.0
2025-10-15,345.77,347.83,333.1,336.3,4617365.0
2025-10-16,338.49,342.7,328.71,330.25,4033087.0
2025-10-17,319.5,336.3,317.77,336.02,4127696.0
2025-10-20,342.46,354.06,338.75,343.78,4022369.0
2025-10-21,342.28,344.79,335.5,338.62,3171968.0
2025-10-22,333.88,334.72,310.48,320.33,7131461.0
2025-10-23,323.0,328.39,318.5,322.76,3125287.0
2025-10-24,335.0,356.88,333.0,354.46,7598193.0
2025-10-27,363.2,373.25,357.3,361.43,5548137.0
2025-10-28,363.38,368.13,354.07,355.22,3513993.0
2025-10-29,357.75,360.0,345.21,348.61,4394575.0
2025-10-30,343.47,344.22,328.21,328.51,4273574.0
2025-10-31,336.38,361.4,334.43,343.78,7625157.0
2025-11-03,340.87,342.8,325.88,330.42,6433657.0
2025-11-04,318.6,325.45,306.85,307.32,8343007.0
2025-11-05,315.88,324.14,310.84,319.3,5563763.0
2025-11-06,316.54,316.6,294.72,295.22,8483624.0
2025-11-07,290.2,310.93,283.65,309.14,8314716.0
2025-11-10,322.99,324.8,311.66,317.93,6003480.0
2025-11-11,312.17,317.09,303.59,304.01,4785369.0
2025-11-12,309.23,311.5,301.46,304.0,4634507.0
2025-11-13,301.59,303.96,279.91,283.14,7244189.0
2025-11-14,269.6,292.76,268.16,284.0,8178938.0
